IST Url,IST Title,OPB Url,Amazon URL,Target URL,Retail Price,OPB Status,OPB Current Price,IST Status,IST Current Price,Amazon Status,Amazon Current Price,Target Status,Target Current Price,Min Current Price,All time Low Price,Target Doc Name,Last Updated
https://www.instocktrades.com/products/apr110255/absolute-sandman-hc-vol-05-(mr),Absolute Sandman HC Vol 05 (MR),https://organicpricedbooks.com/collections/dc-comics/products/absolute-sandman-hc-vol-05-mr,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov170387/absolute-sandman-overture-hc-(mr),Absolute Sandman Overture HC (MR),https://organicpricedbooks.com/collections/dc-comics/products/absolute-sandman-overture,,,,,,,,,,,,,,Absolute Sandman Overture,
https://www.instocktrades.com/products/feb130216/absolute-superman-batman-hc-vol-01,Absolute Superman Batman HC Vol 01,https://organicpricedbooks.com/collections/dc-comics/products/absolute-superman-batman-vol-1,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct130253/absolute-superman-batman-hc-vol-02,Absolute Superman Batman HC Vol 02,https://organicpricedbooks.com/products/absolute-superman-batman-vol-2,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/mar200610/absolute-swamp-thing-by-alan-moore-hc-new-ed-vol-01-(mr),Absolute Swamp Thing By Alan Moore HC New Ed Vol 01 (MR),https://organicpricedbooks.com/collections/dc-comics/products/absolute-swamp-thing-by-alan-moore-hc-new-ed-vol-01-mr,,,,,,,,,,,,,,Absolute Swamp Thing by Alan Moore Vol. 1 (New Printing),
https://www.instocktrades.com/products/sep190544/absolute-swamp-thing-by-alan-moore-hc-vol-02,Absolute Swamp Thing By Alan Moore HC Vol 02,https://organicpricedbooks.com/products/absolute-swamp-thing-by-alan-moore-hc-vol-02,,,,,,,,,,,,,,Absolute Swamp Thing by Alan Moore Vol. 2,
https://www.instocktrades.com/products/mar217108/absolute-swamp-thing-by-alan-moore-vol-3-hc-(mr),Absolute Swamp Thing By Alan Moore Vol 3 HC (MR),https://organicpricedbooks.com/products/absolute-swamp-thing-by-alan-moore-vol-3-hc-mr,,,,,,,,,,,,,,Absolute Swamp Thing by Alan Moore Vol. 3,
https://www.instocktrades.com/products/mar227173/absolute-swamp-thing-by-len-wein-bernie-wrightson-hc,Absolute Swamp Thing By Len Wein & Bernie Wrightson HC,https://organicpricedbooks.com/products/absolute-swamp-thing-by-len-wein-bernie-wrightson-hc-in-store-date-11-8-2022,,,,,,,,,,,,,,Absolute Swamp Thing by Len Wein and Bernie Wrightson,
https://www.instocktrades.com/products/jun207802/absolute-transmetropolitan-hc-vol-01-new-ptg-(mr),Absolute Transmetropolitan HC Vol 01 New Ptg (MR),https://organicpricedbooks.com/products/absolute-transmetropolitan-vol-1-new-printing,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/oct150280/absolute-transmetropolitan-hc-vol-02-(mr),Absolute Transmetropolitan HC Vol 02 (MR),https://organicpricedbooks.com/products/absolute-transmetropolitan-vol-2-hc-2023-edition-on-sale-10-10-23,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/JAN090275/ABSOLUTE-V-FOR-VENDETTA-HC-(MR),Absolute V for Vendetta HC (MR),https://organicpricedbooks.com/collections/dc-comics/products/absolute-v-for-vendetta-hc-mr,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug160321/absolute-wonder-woman-by-azzarello-chiang-hc-vol-01,Absolute Wonder Woman By Azzarello & Chiang HC Vol 01,https://organicpricedbooks.com/collections/dc-comics/products/absolute-wonder-woman-by-azzarello-chiang-hc-vol-01,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul170487/absolute-wonder-woman-by-azzarello-chiang-hc-vol-02,Absolute Wonder Woman By Azzarello & Chiang HC Vol 02,https://organicpricedbooks.com/collections/dc-comics/products/absolute-wonder-woman-by-azzarello-chiang-hc-vol-02,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec207088/absolute-wonder-woman-gods-and-mortals-hc,Absolute Wonder Woman Gods and Mortals HC,https://organicpricedbooks.com/collections/dc-comics/products/absolute-wonder-woman-gods-and-mortals-hc,,,,,,,,,,,,,,Absolute Wonder Woman: Gods and Mortals,
